hip,ra,dec,mag
708,2.1951331,-36.74408179,8.65
705,2.1974024,86.78789828,8.41
709,2.20171313,-47.06066168,7.81
710,2.20309454,8.02174864,7.43
711,2.20465275,-7.89705908,8.76
712,2.20791519,40.84104758,7.58
713,2.20792389,-60.26452754,9.55
714,2.2083263,40.49456869,6.82
715,2.21598889,-25.54780455,10.24
716,2.21695394,25.46285169,6.24
717,2.21766632,0.69244524,7.31
718,2.22041567,-42.91821148,10.52
719,2.22083743,-35.81902966,9.27
720,2.22356284,-22.17950257,7.13
721,2.23047849,-26.22362939,9.14
722,2.23568502,12.804472,8.48
723,2.23740813,66.45664771,8.57
724,2.24674499,-21.20630061,7.21
725,2.24799593,34.36795586,9.05
726,2.24830416,-39.73711336,7.72
727,2.24977114,49.85810859,8.03
728,2.25065511,28.24755645,6.47
729,2.2597423,18.21202529,5.57
730,2.25978189,-54.00196301,6.32
732,2.26106347,-35.09184956,7.78
731,2.26145881,27.65123946,11.65
733,2.26154948,9.84996128,8.58
734,2.26186026,-24.33505454,10.37
735,2.26322766,22.66426725,9.23
736,2.26412852,-59.28059246,9.2
737,2.26490408,40.84327725,6.93
738,2.266269,-27.12235235,11.73
739,2.26631833,-28.33000796,9.32
740,2.26793216,19.92463831,7.11
741,2.27351039,-36.65060208,9.79
742,2.27673999,-50.60776281,8.21
743,2.27906762,-50.013628,8.42
744,2.28568036,-50.16678657,7.05
745,2.28833154,-38.28947361,9.26
746,2.29204036,59.15021814,2.28
747,2.29237517,44.72184555,8.77
748,2.29606736,21.05936782,9.25
749,2.29783513,-31.47728797,9.3
750,2.29831313,44.72276734,10.63
751,2.30375144,42.25439291,9.9
752,2.30406964,-0.75219804,9.89
753,2.31118231,32.47666637,9.33
754,2.31514306,25.28231728,7.78
